start_station_id,end_station_id,n_trips,duration
65,59,378,411582
65,60,123,205123
65,61,891,501138
65,62,449,312629
65,63,362,402233
65,64,286,182140
65,65,425,1157087
65,66,680,421627
65,67,565,428280
65,68,279,218770
65,69,3495,1054078
65,70,5041,1437680
65,71,169,296390
65,72,2698,1448653
65,73,85,132459
65,74,421,420440
65,75,80,82892
65,76,560,543201
65,77,573,691265
65,82,81,98395
66,34,1,20491
66,39,1138,663587
66,41,114,761973
66,42,97,100146
66,45,190,172591
66,46,121,113742
66,47,447,300728
66,48,124,185003
66,49,165,168094
66,50,244,347238
66,51,166,171733
66,54,50,61364
66,55,533,490579
66,56,344,310866
66,57,310,220270
66,58,159,268780
66,59,223,182381
66,60,230,408846
66,61,157,176275
66,62,111,17367175
66,63,243,182689
66,64,294,313740
66,65,575,518812
66,66,368,2003420
66,67,288,331184
66,68,176,147387
66,69,784,583588
66,70,1155,846388
66,71,133,153561
66,72,1258,922890
66,73,95,185169
66,74,258,337207
66,75,333,291006
66,76,846,632749
66,77,1120,948295
66,82,30,42704
67,39,1732,1156970
67,41,97,100015
67,42,170,164478
67,45,157,219582
67,46,275,202680
67,47,604,453100
67,48,127,251497
67,49,178,210873
67,50,426,564423
67,51,65,156880
67,54,64,126045
67,55,339,281327
67,56,396,310097
67,57,501,316529
67,58,107,191157
67,59,185,391294
67,60,191,787727
67,61,195,543075
67,62,272,208509
67,63,219,193374
67,64,340,286686
67,65,831,543143
67,66,251,639510
67,67,666,4178770
67,68,630,475553
67,69,2083,1317907
67,70,3190,2431220
67,71,376,305886
67,72,836,717537
67,73,189,310040
67,74,534,592464
67,75,455,399437
67,76,2540,1325243
67,77,1006,832990
67,82,45,83662
68,39,279,392245
68,41,130,92516
68,42,32,40995
68,45,354,221674
68,46,142,134749
68,47,180,93347
68,48,94,164311
68,49,229,120574
68,50,611,540131
68,51,141,113292
68,54,153,114680
68,55,224,188044
68,56,137,108982
68,57,505,446593
68,58,61,101403
68,59,102,179987
68,60,247,741468
68,61,316,219009
68,62,110,54873
68,63,83,275883
68,64,411,191777
68,65,437,384586
68,66,271,326986
68,67,615,429590
68,68,328,1690141
68,69,1221,536166
68,70,2094,923312
68,71,174,175899
68,72,218,298862
68,73,212,275301
68,74,437,330801
68,75,104,169428
68,76,162,176306
68,77,380,224167
68,82,57,43492
69,35,2,38119
69,39,3438,2009268
69,41,271,260041
69,42,454,412238
69,45,318,258327
69,46,336,260466
69,47,457,332492
69,48,397,479583
69,49,356,244436
69,50,1434,1193538
69,51,1406,900035
69,54,227,171229
69,55,1192,821091
69,56,469,377119
69,57,3005,1240259
69,58,192,188188
69,59,487,419520
69,60,355,675700
69,61,534,259140
69,62,668,374636
69,63,1240,656028
69,64,619,278086
69,65,6216,1972347
69,66,739,678732
69,67,2230,1930389
69,68,865,543658
69,69,421,1354149
69,70,138,577048
69,71,252,253841
69,72,853,596432
69,73,72,212682
69,74,1098,833029
69,75,483,454217
69,76,711,489886
69,77,1300,1070943
69,82,507,469885
70,2,1,17662
